Type,District,avg_price,avg_living_area,advertisement_count,avg_price_per_square
Land,Faro,5480833.336015543,760.0,2,6.884452417708472e-06
Other - Residential,Faro,125000.0,55.0,2,8e-06
Store,Faro,320000.0,69.0,2,3.125e-06
Apartment,Faro,367159.2857221066,90.06079651873856,2,9.993711844906257e-06
Building,Faro,2950000.0,406.0,2,3.389830508474576e-07
Farm,Vila Real,780000.0,120.0,2,1.282051282051282e-06
Garage,Faro,25000.0,15.0,2,4e-05
House,Faro,579073.7228393555,179.81261215209963,2,3.093099528848643e-06
Land,Faro,5863750.0013411045,760.0,2,6.683558450186478e-06
Other - Residential,Faro,125000.0,55.0,2,8e-06
Store,Faro,320000.0,69.0,2,3.125e-06
Apartment,Faro,366287.6428610533,90.73039825936928,2,9.865765970636634e-06
Building,Faro,2950000.0,406.0,2,3.389830508474576e-07
Farm,Vila Real,780000.0,120.0,2,1.282051282051282e-06
Garage,Faro,25000.0,15.0,2,4e-05
House,Faro,550370.1947530111,170.0729727427165,2,3.190129247884638e-06
Land,Faro,6055208.334003886,760.0,2,6.58311146642548e-06
Other - Residential,Faro,125000.0,55.0,2,8e-06
Store,Faro,320000.0,69.0,2,3.125e-06
Apartment,Faro,365266.89835360355,90.96135297583848,2,9.67193254370372e-06
Building,Faro,2950000.0,406.0,2,3.389830508474576e-07
Farm,Vila Real,780000.0,120.0,2,1.282051282051282e-06
Garage,Faro,25000.0,15.0,2,4e-05
House,Faro,536018.4307098389,165.20315303802494,2,3.2386441074026356e-06
Land,Faro,6150937.500335276,760.0,2,6.532887974544981e-06
Other - Residential,Faro,125000.0,55.0,2,8e-06
Store,Faro,320000.0,69.0,2,3.125e-06
Farm,Vila Real,780000.0,120.0,1,1.282051282051282e-06
Farm,Vila Real,780000.0,120.0,1,1.282051282051282e-06
Farm,Vila Real,780000.0,120.0,1,1.282051282051282e-06
Apartment,Faro,223000.0,81.0,1,4.484304932735426e-06
Farm,Vila Real,780000.0,120.0,2,1.282051282051282e-06
